f1,prevalence,balanced_matrix_TP,balanced_matrix_FP,balanced_matrix_FN,balanced_matrix_TN,balanced_score_kappa_k,balanced_score_kappa_enum,balanced_score_f1,balanced_score_ppv,balanced_score_recall,balanced_score_specificity,max_precision_matrix_TP,max_precision_matrix_FP,max_precision_matrix_FN,max_precision_matrix_TN,max_precision_score_kappa_k,max_precision_score_kappa_enum,max_precision_score_f1,max_precision_score_ppv,max_precision_score_recall,max_precision_score_specificity,max_recall_matrix_TP,max_recall_matrix_FP,max_recall_matrix_FN,max_recall_matrix_TN,max_recall_score_kappa_k,max_recall_score_kappa_enum,max_recall_score_f1,max_recall_score_ppv,max_recall_score_recall,max_recall_score_specificity
0.9,0.8,72000,8000,8000,12000,0.5,moderate,0.9,0.9,0.9,0.6,65455,0,14545,20000,0.643,substantial,0.9,1.0,0.818,1.0,80000,17778,0,2222,0.167,slight,0.9,0.818,1.0,0.111
0.9,0.9,81000,9000,9000,1000,-0.0,no,0.9,0.9,0.9,0.1,73636,0,16364,10000,0.474,moderate,0.9,1.0,0.818,1.0,81818,10000,8182,0,-0.099,no,0.9,0.891,0.909,0.0
0.95,0.001,95,5,5,99895,0.95,near_perfect,0.95,0.95,0.95,1.0,90,0,10,99900,0.947,near_perfect,0.947,1.0,0.9,1.0,100,11,0,99889,0.948,near_perfect,0.948,0.901,1.0,1.0
0.95,0.01,950,50,50,98950,0.949,near_perfect,0.95,0.95,0.95,0.999,905,0,95,99000,0.95,near_perfect,0.95,1.0,0.905,1.0,1000,105,0,98895,0.95,near_perfect,0.95,0.905,1.0,0.999
0.95,0.05,4750,250,250,94750,0.947,near_perfect,0.95,0.95,0.95,0.997,4524,0,476,95000,0.948,near_perfect,0.95,1.0,0.905,1.0,5000,526,0,94474,0.947,near_perfect,0.95,0.905,1.0,0.994
0.95,0.1,9500,500,500,89500,0.944,near_perfect,0.95,0.95,0.95,0.994,9048,0,952,90000,0.945,near_perfect,0.95,1.0,0.905,1.0,10000,1053,0,88947,0.944,near_perfect,0.95,0.905,1.0,0.988
0.95,0.2,19000,1000,1000,79000,0.937,near_perfect,0.95,0.95,0.95,0.988,18095,0,1905,80000,0.938,near_perfect,0.95,1.0,0.905,1.0,20000,2105,0,77895,0.937,near_perfect,0.95,0.905,1.0,0.974
0.95,0.3,28500,1500,1500,68500,0.929,near_perfect,0.95,0.95,0.95,0.979,27143,0,2857,70000,0.93,near_perfect,0.95,1.0,0.905,1.0,30000,3158,0,66842,0.927,near_perfect,0.95,0.905,1.0,0.955
0.95,0.4,38000,2000,2000,58000,0.917,near_perfect,0.95,0.95,0.95,0.967,36190,0,3810,60000,0.919,near_perfect,0.95,1.0,0.905,1.0,40000,4211,0,55789,0.914,near_perfect,0.95,0.905,1.0,0.93
0.95,0.5,47500,2500,2500,47500,0.9,near_perfect,0.95,0.95,0.95,0.95,45238,0,4762,50000,0.905,near_perfect,0.95,1.0,0.905,1.0,50000,5263,0,44737,0.895,near_perfect,0.95,0.905,1.0,0.895
0.95,0.6,57000,3000,3000,37000,0.875,near_perfect,0.95,0.95,0.95,0.925,54286,0,5714,40000,0.884,near_perfect,0.95,1.0,0.905,1.0,60000,6316,0,33684,0.865,near_perfect,0.95,0.905,1.0,0.842
0.95,0.7,66500,3500,3500,26500,0.833,near_perfect,0.95,0.95,0.95,0.883,63333,0,6667,30000,0.851,near_perfect,0.95,1.0,0.905,1.0,70000,7368,0,22632,0.811,near_perfect,0.95,0.905,1.0,0.754
0.95,0.8,76000,4000,4000,16000,0.75,substantial,0.95,0.95,0.95,0.8,72381,0,7619,20000,0.792,substantial,0.95,1.0,0.905,1.0,80000,8421,0,11579,0.688,substantial,0.95,0.905,1.0,0.579
0.95,0.9,85500,4500,4500,5500,0.5,moderate,0.95,0.95,0.95,0.55,81429,0,8571,10000,0.655,substantial,0.95,1.0,0.905,1.0,90000,9474,0,526,0.091,no,0.95,0.905,1.0,0.053
0.95,0.95,90250,4750,4750,250,0.0,no,0.95,0.95,0.95,0.05,85952,0,9048,5000,0.487,moderate,0.95,1.0,0.905,1.0,90476,5000,4524,0,-0.05,no,0.95,0.948,0.952,0.0
0.99,0.001,99,1,1,99899,0.99,near_perfect,0.99,0.99,0.99,1.0,98,0,2,99900,0.99,near_perfect,0.99,1.0,0.98,1.0,100,2,0,99898,0.99,near_perfect,0.99,0.98,1.0,1.0
0.99,0.01,990,10,10,98990,0.99,near_perfect,0.99,0.99,0.99,1.0,980,0,20,99000,0.99,near_perfect,0.99,1.0,0.98,1.0,1000,20,0,98980,0.99,near_perfect,0.99,0.98,1.0,1.0
0.99,0.05,4950,50,50,94950,0.989,near_perfect,0.99,0.99,0.99,0.999,4901,0,99,95000,0.989,near_perfect,0.99,1.0,0.98,1.0,5000,101,0,94899,0.989,near_perfect,0.99,0.98,1.0,0.999
0.99,0.1,9900,100,100,89900,0.989,near_perfect,0.99,0.99,0.99,0.999,9802,0,198,90000,0.989,near_perfect,0.99,1.0,0.98,1.0,10000,202,0,89798,0.989,near_perfect,0.99,0.98,1.0,0.998
0.99,0.2,19800,200,200,79800,0.987,near_perfect,0.99,0.99,0.99,0.998,19604,0,396,80000,0.988,near_perfect,0.99,1.0,0.98,1.0,20000,404,0,79596,0.987,near_perfect,0.99,0.98,1.0,0.995
0.99,0.3,29700,300,300,69700,0.986,near_perfect,0.99,0.99,0.99,0.996,29406,0,594,70000,0.986,near_perfect,0.99,1.0,0.98,1.0,30000,606,0,69394,0.986,near_perfect,0.99,0.98,1.0,0.991
0.99,0.4,39600,400,400,59600,0.983,near_perfect,0.99,0.99,0.99,0.993,39208,0,792,60000,0.983,near_perfect,0.99,1.0,0.98,1.0,40000,808,0,59192,0.983,near_perfect,0.99,0.98,1.0,0.987
0.99,0.5,49500,500,500,49500,0.98,near_perfect,0.99,0.99,0.99,0.99,49010,0,990,50000,0.98,near_perfect,0.99,1.0,0.98,1.0,50000,1010,0,48990,0.98,near_perfect,0.99,0.98,1.0,0.98
0.99,0.6,59400,600,600,39400,0.975,near_perfect,0.99,0.99,0.99,0.985,58812,0,1188,40000,0.975,near_perfect,0.99,1.0,0.98,1.0,60000,1212,0,38788,0.975,near_perfect,0.99,0.98,1.0,0.97
0.99,0.7,69300,700,700,29300,0.967,near_perfect,0.99,0.99,0.99,0.977,68614,0,1386,30000,0.967,near_perfect,0.99,1.0,0.98,1.0,70000,1414,0,28586,0.966,near_perfect,0.99,0.98,1.0,0.953
0.99,0.8,79200,800,800,19200,0.95,near_perfect,0.99,0.99,0.99,0.96,78416,0,1584,20000,0.952,near_perfect,0.99,1.0,0.98,1.0,80000,1616,0,18384,0.948,near_perfect,0.99,0.98,1.0,0.919
0.99,0.9,89100,900,900,9100,0.9,near_perfect,0.99,0.99,0.99,0.91,88218,0,1782,10000,0.908,near_perfect,0.99,1.0,0.98,1.0,90000,1818,0,8182,0.89,near_perfect,0.99,0.98,1.0,0.818
0.99,0.95,94050,950,950,4050,0.8,substantial,0.99,0.99,0.99,0.81,93119,0,1881,5000,0.832,near_perfect,0.99,1.0,0.98,1.0,95000,1919,0,3081,0.753,substantial,0.99,0.98,1.0,0.616
0.99,0.99,98010,990,990,10,0.0,no,0.99,0.99,0.99,0.01,97040,0,1960,1000,0.498,moderate,0.99,1.0,0.98,1.0,98020,1000,980,0,-0.01,no,0.99,0.99,0.99,0.0
0.999,0.001,100,0,0,99900,1.0,perfect,1.0,1.0,1.0,1.0,100,0,0,99900,1.0,perfect,1.0,1.0,1.0,1.0,100,0,0,99900,1.0,perfect,1.0,1.0,1.0,1.0
0.999,0.01,999,1,1,98999,0.999,near_perfect,0.999,0.999,0.999,1.0,998,0,2,99000,0.999,near_perfect,0.999,1.0,0.998,1.0,1000,2,0,98998,0.999,near_perfect,0.999,0.998,1.0,1.0
0.999,0.05,4995,5,5,94995,0.999,near_perfect,0.999,0.999,0.999,1.0,4990,0,10,95000,0.999,near_perfect,0.999,1.0,0.998,1.0,5000,10,0,94990,0.999,near_perfect,0.999,0.998,1.0,1.0
0.999,0.1,9990,10,10,89990,0.999,near_perfect,0.999,0.999,0.999,1.0,9980,0,20,90000,0.999,near_perfect,0.999,1.0,0.998,1.0,10000,20,0,89980,0.999,near_perfect,0.999,0.998,1.0,1.0
0.999,0.2,19980,20,20,79980,0.999,near_perfect,0.999,0.999,0.999,1.0,19960,0,40,80000,0.999,near_perfect,0.999,1.0,0.998,1.0,20000,40,0,79960,0.999,near_perfect,0.999,0.998,1.0,1.0
0.999,0.3,29970,30,30,69970,0.999,near_perfect,0.999,0.999,0.999,1.0,29940,0,60,70000,0.999,near_perfect,0.999,1.0,0.998,1.0,30000,60,0,69940,0.999,near_perfect,0.999,0.998,1.0,0.999
0.999,0.4,39960,40,40,59960,0.998,near_perfect,0.999,0.999,0.999,0.999,39920,0,80,60000,0.998,near_perfect,0.999,1.0,0.998,1.0,40000,80,0,59920,0.998,near_perfect,0.999,0.998,1.0,0.999
0.999,0.5,49950,50,50,49950,0.998,near_perfect,0.999,0.999,0.999,0.999,49900,0,100,50000,0.998,near_perfect,0.999,1.0,0.998,1.0,50000,100,0,49900,0.998,near_perfect,0.999,0.998,1.0,0.998
0.999,0.6,59940,60,60,39940,0.998,near_perfect,0.999,0.999,0.999,0.999,59880,0,120,40000,0.998,near_perfect,0.999,1.0,0.998,1.0,60000,120,0,39880,0.997,near_perfect,0.999,0.998,1.0,0.997
0.999,0.7,69930,70,70,29930,0.997,near_perfect,0.999,0.999,0.999,0.998,69860,0,140,30000,0.997,near_perfect,0.999,1.0,0.998,1.0,70000,140,0,29860,0.997,near_perfect,0.999,0.998,1.0,0.995
0.999,0.8,79920,80,80,19920,0.995,near_perfect,0.999,0.999,0.999,0.996,79840,0,160,20000,0.995,near_perfect,0.999,1.0,0.998,1.0,80000,160,0,19840,0.995,near_perfect,0.999,0.998,1.0,0.992
0.999,0.9,89910,90,90,9910,0.99,near_perfect,0.999,0.999,0.999,0.991,89820,0,180,10000,0.99,near_perfect,0.999,1.0,0.998,1.0,90000,180,0,9820,0.99,near_perfect,0.999,0.998,1.0,0.982
0.999,0.95,94905,95,95,4905,0.98,near_perfect,0.999,0.999,0.999,0.981,94810,0,190,5000,0.98,near_perfect,0.999,1.0,0.998,1.0,95000,190,0,4810,0.98,near_perfect,0.999,0.998,1.0,0.962
0.999,0.99,98901,99,99,901,0.9,near_perfect,0.999,0.999,0.999,0.901,98802,0,198,1000,0.909,near_perfect,0.999,1.0,0.998,1.0,99000,198,0,802,0.889,near_perfect,0.999,0.998,1.0,0.802
0.999,0.999,99800,100,100,0,-0.001,no,0.999,0.999,0.999,0.0,99700,0,200,100,0.499,moderate,0.999,1.0,0.998,1.0,99800,100,100,0,-0.001,no,0.999,0.999,0.999,0.0
